name,record,foley,library
593 720 430 308,0,1,0
185 630 184 50 616 208 194,0,1,0
1006 881,0,0,1
493 881,0,0,1
736 248,1,0,0
248 15 538 548,1,0,0
493 881,0,0,1
473 0 51 1011,0,1,0
281 643 36 833,0,0,1
415 1010 464,0,1,0
415 1010 654 36 843 284 637 949 778 1033 356,0,1,0
474 163 892,0,0,1
474 163 205,0,0,1
578 196 439 84,0,1,0
876 1012 1000,0,1,0
24 493 881,0,0,1
51 933 631 36 395 284 949 437 681 1031 259,1,1,0
473 933 631 395 284 599,1,1,0
473 776 631 52 105,0,1,1
321 493 881,0,0,1
308 49 931,0,1,1
593 1012 464 36 844 284,0,1,0
616 331 373 949 744 470 949 403,0,1,1
493 881,0,0,1
436 881,0,1,0
143,0,0,1
493 881,0,0,1
592 1006 881 6 176 694 320,0,0,1
242 274 36 619 408,0,0,1
303 177 464 976,0,0,1
416,0,0,1
870 964 50 429 441 403,0,1,0
303 787 1000,0,1,0
961 122 464 348,0,1,1
961 122 464 348,0,1,1
473 727 122 651 630 348,0,1,1
244,1,0,0
493 618 881,0,0,1
493 881,0,0,1
594 493 881,0,0,1
415 384 651 630 74 36 1010 15 337 904,0,1,1
366 214 36 953 907 52 458,0,1,0
110 1010 470 458,0,1,0
550 844 1000,0,1,0
594 493 881 373 466 452,0,0,1
167 358 284 637 222,0,1,0
924 688 1000 102,0,1,0
421 825,0,1,0
732 412 995 224 36 1012 651 281,0,1,0
396 959 64 15 337 656 56,0,1,0
659 983,0,1,0
788 386 651 630 419 36 362 479,0,1,0
788 985 969 543,0,1,0
102 196,0,1,0
958 680 1011,0,1,0
370 570 783 637 402 36 953 470 493,0,1,0
1003 373 95 719 250,0,1,0
47 366,0,1,0
366 45,0,1,0
388 47,0,1,0
1011 464 605,0,1,0
606 366,0,1,0
47 605,0,1,0
29 360,0,0,1
699 317 208 969 15 907,0,0,1
643 281 36 492 651,0,0,1
276 413,0,0,1
281 643 36 196 36 954 318 912,0,0,1
195 555 412 824,0,0,1
431 1042 36 798 653 637 916,0,0,1
281 643,0,0,1
696 824 464 275,0,0,1
411 821 15 127 630 125 60 284 916,0,0,1
99 316 509 36 99 441 823,0,0,1
788 386 651,0,0,1
7 759 824,0,0,1
370 734 826,0,0,1
840 824,0,0,1
788 189 631 584 521 36 513 83 74,1,0,0
788 492 1000,1,0,0
788 855 631 254 521,1,0,0
699,0,0,1
493 881,0,0,1
788 962 284 759,0,0,1
99 995 924 36 953 329,0,0,1
862 915,0,0,1
618 493 881,0,0,1
141 348,0,0,1
554 177 32,0,0,1
493 881,0,0,1
594 493 881,0,0,1
321 493 881,0,0,1
618 967 493 881,0,0,1
594 493 881,0,0,1
788 776 654 36 844 1000 464 419,1,0,0
985 15 659,0,1,0
899 1000,0,1,0
182 423,0,1,0
704 171 960,0,1,0
603 15 691,0,1,0
603 15 691,0,1,0
603 15 691,0,1,0
603 15 691,0,1,0
400 15 691,0,1,0
603 15 691,0,1,0
493 880 469 788,0,0,1
46,0,1,0
652 598,0,0,1
99 933 631,0,0,1
766 36 276 332,0,0,1
493 881,0,0,1
110 524,0,0,1
769 630 332,0,0,1
316 902,0,0,1
316 933 631,0,0,1
316 740,0,0,1
316 371 724,0,0,1
798 50 954 394 654,1,0,0
