name,record,foley,library
morgan pretending he's eating,0,1,0
click of claws as newt comes close,0,1,0
village sounds,0,0,1
jungle sounds,0,0,1
quiet crying,1,0,0
crying a litte louder,1,0,0
jungle sounds,0,0,1
isaac & asher walking,0,1,0
door opens and shuts,0,0,1
guys walk in,0,1,0
guys walk over and sit down on the rough wood floor.,0,1,0
isaac's chair squeaks,0,0,1
isaac's chair collapses.,0,0,1
mike closes his bible,0,1,0
someone walks up,0,1,0
afternoon jungle sounds,0,0,1
asher takes off and goes down the hill. perspective with david,1,1,0
isaac takes off goes down mountain,1,1,0
isaac rolls off at bottom,0,1,1
evening jungle sounds,0,0,1
eating around table,0,1,1
morgan walks in and sits down,0,1,0
newt falling from the rafter into the ground,0,1,1
jungle sounds,0,0,1
hiking sounds,0,1,0
campfire,0,0,1
jungle sounds,0,0,1
"more village sounds - children, pigs, etc...",0,0,1
crowd dispurses and noise grows,0,0,1
dugwiru chopping in tree,0,0,1
hacking,0,0,1
soft thud as he hits ground,0,1,0
dugwiru runs up,0,1,0
throwing bug in fire,0,1,1
throwing bug in fire,0,1,1
isaac pulls bug out of fire,0,1,1
crunching,1,0,0
jungle night sounds,0,0,1
jungle sounds,0,0,1
morning jungle sounds,0,0,1
guys get out of bed and walk a few steps,0,1,1
footsteps continue and then stop at hut,0,1,0
boys walk into hut,0,1,0
lugu sits up,0,1,0
morning jungle sounds from inside house,0,0,1
charlie flops down on couch,0,1,0
susan picks up book,0,1,0
handing shotgun,0,1,0
puts gun under counter and walks out door,0,1,0
going through bag a few paces away,0,1,0
page turning,0,1,0
russ gets out of hammock and follows jaime,0,1,0
russ turns to look,0,1,0
book closes,0,1,0
three people walking,0,1,0
four men running on gravel and then into jungle,0,1,0
velcro from blood pressure cuff,0,1,0
approaching footsteps,0,1,0
footsteps approach,0,1,0
giovani approaching,0,1,0
walking in mud,0,1,0
muddy footsteps,0,1,0
approaching mud,0,1,0
airplane flying,0,0,1
plane engines comes to a stop,0,0,1
opens door and jumps out,0,0,1
distant gunfire,0,0,1
door opens and closes and they enter store,0,0,1
closer machine gun shot,0,0,1
hear yelling and screaming outside on street,0,0,1
door opens,0,0,1
pistol shot in distance,0,0,1
guerilla shoots a burst of bullets back down street,0,0,1
boat engine kills and boat hits shore.,0,0,1
russ gets out,0,0,1
.38 revolver shot,0,0,1
four quick shots,0,0,1
single shot,0,0,1
russ climbs off mom's lap and kneels beside bed,1,0,0
russ jumps up,1,0,0
russ slips off dad's lap,1,0,0
plane,0,0,1
jungle sounds,0,0,1
russ throws down revolver,0,0,1
boat under susan and then fades,0,0,1
small stream,0,0,1
night jungle sounds,0,0,1
camp fire,0,0,1
machetes chopping all,0,0,1
jungle sounds,0,0,1
morning jungle sounds,0,0,1
evening jungle sounds,0,0,1
night time jungle sounds,0,0,1
morning jungle sounds,0,0,1
russ rolls over and sits up in hammock,1,0,0
turns a page,0,1,0
stands up,0,1,0
clasping hands,0,1,0
playing chess throughout,0,1,0
moves a piece,0,1,0
moves a piece,0,1,0
moves a piece,0,1,0
moves a piece,0,1,0
grabs a piece,0,1,0
moves a piece,0,1,0
jungle sound interrupts russ,0,0,1
approaches,0,1,0
outboard motor,0,0,1
boat takes off,0,0,1
river and distant falls,0,0,1
jungle sounds,0,0,1
boys laughing,0,0,1
roar of falls,0,0,1
engine starts,0,0,1
engine takes off,0,0,1
engine quits,0,0,1
engine frantically pulled,0,0,1
screaming as they go over,1,0,0
base of falls,0,0,1
flopping in boat,0,0,1
engine roars,0,0,1
engine roars,0,0,1
manual type writer clicks a few words and then stops,0,1,0
jungle,0,0,1
unwrapping candy,0,1,0
russ pops in mouth,0,1,0
dividing up sweet tart into little pieces,0,1,0
russ stands up,0,1,0
russ starts calmly typing again,0,1,0
russ typing,0,1,0
night jungle,0,0,1
sniffing,0,0,1
hitting tarp and snake hitting ground,0,0,1
runnning,0,1,0
machete killing snake,0,0,1
nancy opening bible.,0,1,0
nancy walks away,0,1,0
someone grabbing russ' typewriter.,0,1,0
guys shaking hands,0,1,0
walking a couple steps,0,1,0
hugging nancy,0,1,0
russ walks six or seven paces.,0,1,0
russ walks a few feet,0,1,0
mariano takes russ' hand.,0,1,0
planes starts and takes off,0,0,1
moving of mirror,1,0,0
rv door opens,1,0,0
peter's footsteps up rv steps,1,0,0
door closing,1,0,0
curtain sliding and jack getting out of bed and walking closer,1,0,0
sound of kids getting out of bed,1,0,0
hope crawling up,1,0,0
side door opens,1,0,0
generator running,1,0,0
vacuum starts running,1,0,0
vacuum rod bumping down the hole,1,0,0
vacuum sounds different from wet-wipe,1,0,0
vacuum shuts off,1,0,0
vacuum starts again with bumping sounds in and out,1,0,0
bumping sounds,1,0,0
vacuum sounds different as it get's plugged,1,0,0
water spewing out,1,0,0
vacuum turns off,1,0,0
side door opens,1,0,0
charlie runs out and slams door,1,1,0
peter and micah talking about drawing rainbow monsters,1,0,1
moving mattress,1,0,0
crickets night sounds,0,0,0
zipping of a bag,0,1,0
rifling through bag,0,1,0
footsteps,0,1,0
tearing of tape,0,1,0
campground sounds during the day,0,0,0
peter walking up to campsite,0,1,0
peter approaches game,0,1,0
rolling dice,0,1,0
peter keeps walking towards the camper perspective with him,0,1,0
struggling to pull off knob,0,1,0
slowly pulling dash out,0,1,0
pulling clip out,0,1,0
money rattling inside,0,1,0
footsteps as crust camper walks to back of rv,0,1,0
micah walks up,0,1,0
crusty camper walking out,0,1,0
evening sounds,0,0,0
campfire sounds,0,0,0
footsteps around the campfire,0,1,0
boy walking away down trail,0,1,0
starting app that makes high pitch sound,0,0,0
dog starts howling,0,0,0
another couple dogs start howling,0,0,0
crickets night sounds,0,0,0
zipping of a bag,0,1,0
rifling through bag,0,1,0
footsteps,0,1,0
tearing of tape,0,1,0
moving of mirror,0,1,0
birds signifying morning,0,0,0
inside rv in morning,0,0,0
outside sounds,0,0,0
walking into the brush,0,1,0
isaac and kitri walking away,0,1,0
beep of phone,0,0,0
peter walking,0,1,0
splash as he falls into puddle,0,0,0
keyboard clicking,0,1,0
peters footsteps,0,1,0
campground mid-day sounds,0,0,0
isaac & kitri walking,0,1,0
walking,0,1,0
steps stop walking,0,1,0
truck coming,0,0,0
mid-day inside rv,0,0,0
beep of peter's phone starting to record,0,0,0
beep of phone,0,0,0
braydon walks off,0,1,0
high fives,0,1,0
mirror falls off wall,0,1,0
"footstep, picking up mirror, ripping money off",0,1,0
beep if peter's vlog account,0,0,0
evening sounds,0,0,0
pencil on paper,0,1,0
peter's vlog starts,0,0,0
vlog beeps,0,0,0
scene opens with birds and morning camp sounds,0,0,0
beep of vlog app,0,0,0
moving cloths,0,1,0
morning outside camp sounds louder,0,0,0
morning trail sounds higher elevation,0,0,0
jack and susan walking,0,1,0
beep,0,0,0
campsite sounds,0,0,0
running footsteps,0,1,0
camp sounds mid-day,0,0,0
vlog app sound shutting down,0,0,0
clicking as kitri scrolls through comments,0,1,0
kitri takes phone from ian,0,1,0
ian takes phone back,0,1,0
beep sound effect finding,0,1,0
flashlight clicks on,0,1,0
airplanes heard outside,0,0,1
reng jumps out of bed,1,0,0
running to door,0,0,0
opening door,0,0,1
airplanes louder now,0,0,1
anti-aircraft fire,0,0,1
plane going down,0,0,1
bombs exploding in distance,0,0,1
large explosion several blocks away,0,0,1
grabbing a bike,1,0,0
bus sounds fade up,0,0,1
bus stops,0,0,1
girls walking down the isle as the bus slows to a stop,1,0,0
bus door opens and girls start to walk off,0,0,1
books falling to the bus floor,1,0,0
door shuts,0,0,1
bus takes off,0,0,1
walking dragging luggage,1,0,0
door opens,0,0,1
girls running up walk dragging their luggage,1,0,0
stomping up wood steps,0,0,0
oma setting down plates with tea for the girls,1,0,0
"pouring coffee, settling in",0,0,1
airplanes heard outside,0,0,1
anti-aircraft fire and explosions in distance,0,0,1
large explosion several blocks away,0,0,1
grabbing a bike,0,0,0
door forcefully opens from outside perspective,0,0,1
small child crying in background,0,0,1
running from back room,0,0,0
hans runs back inside to pack,0,0,0
another loud exposion,0,0,1
in background we should hear battle sounds,0,0,1
radio turns up dead air with static building anticipation,0,0,1
old radio sound,0,0,1
radio clicks off,0,0,1
house sounds,0,0,1
clapping,0,0,0
interior of tram,0,0,1
german nail boots walking down isle towards them,1,0,0
taking someone's id card and handing it back,0,0,0
soldier walks to them,0,0,0
reng and lynn handing papers,1,0,0
soldier continuing to walk past,0,0,0
skating,0,0,1
tying skates,1,0,0
couple take off on skates,0,0,1
dutch children laughing,0,0,1
skating as lynn and reng pass,0,0,1
child carrying on,0,0,1
skating,0,0,1
old wooden door swings open,0,0,1
reng walks in and sits down at table,0,0,0
all three open their bibles,1,0,0
hans closes bible,1,0,0
reng runs a little further,0,0,0
rustling through coats,1,0,0
walking stops,0,0,0
fiddling with door keys,0,0,1
quick walking,0,0,0
oma's house,0,0,1
small party four people,0,0,1
small house sounds,0,0,1
radio in background playing dutch 40's music,0,0,1
lynn getting coffee,0,0,0
constant pounding on the door until lynn answers it,1,0,0
unscrewing lightbulb,1,0,0
running feet,0,0,0
pounding continues,1,0,0
kicking radio under desk as lynn walks to door,1,0,0
walking slowly,0,0,0
door opens,1,0,0
soldiers push past her into house,0,0,0
march past her over to touch lightbulb above table,0,0,0
stops walking,0,0,0
reng grabs plate,1,0,0
tries it,0,0,0
chewing,0,0,0
footsteps as they leave,0,0,0
door shut,1,0,0
glasses clink,0,0,0
men put masks on,1,0,0
door opening,0,0,1
three people moving their chairs into center of room,1,0,0
opening drawers,0,0,1
tying up,1,0,0
drawer opening,0,0,1
another drawer,0,0,1
digging and putting sand in bucket,0,0,1
reng climbs in hole,0,0,0
reng climbs in hole,0,0,0
boards goes in place,1,0,0
boards come off and reng climbs out,1,0,0
crickets night time,0,0,1
three men walking,0,0,0
running,0,0,0
opening a door,0,0,1
fiddling with a lock,0,0,1
click,0,0,1
door handle clicks,0,0,1
door swings open,0,0,1
side door opens,0,0,1
draws a weapon,0,0,1
otto gets out of car and runs,1,0,0
reng and hans running,0,0,0
german sounds from radios,0,0,1
going through four pictures slowly,1,0,0
interior of hans 1938 sedan. have other cars pass them from time to time going other direction,1,0,0
car stops,1,0,0
interior of a car driving and then slowing down,1,0,0
car stops and is put in gear,1,0,0
car doors open,1,0,0
interior car driving fast,1,0,0
car accelerates,1,0,0
seats going back,1,0,0
car accelerating,1,0,0
opening trunk,1,0,0
interious of car pulling to a stop,1,0,0
2 doors opening,1,0,0
eight soldiers marching on sidewalk,1,0,0
pounding on door,1,0,0
door slowly opens,1,0,0
door closes,1,0,0
knock at the door,1,0,0
reng opens front door,1,0,0
soldiers boots then pounding,1,0,0
pounding on the door,1,0,0
continued pounding,1,0,0
opening drawer handing gun,1,0,0
opening door,1,0,0
rolling up carpet and linoleum,1,0,0
rolling up carpet and linoleum,1,0,0
rummaging through a suitcase,1,0,0
knock,1,0,0
lynn handing letter to janitor,1,0,0
some type of secret knock,1,0,0
taking letter out to read it,1,0,0
grabbing binocs,1,0,0
pounding continues,0,0,1
grabbing a picture,0,0,1
throwing piece of wood in stove,0,0,1
closing woodstove door,0,0,1
reng footsteps,0,0,0
handing paper to commandant,0,0,1
takes paper and looks over names,0,0,1
lynn's running steps,0,0,0
running footsteps,0,0,0
footsteps,0,0,0
running,0,0,0
opening hole,0,0,0
crawling in hole,0,0,0
covering hole,0,0,0
walking,0,0,0
pushes their way in,0,0,0
boots storm into house,0,0,0
boots running,0,0,0
chair being set in center of room,0,0,0
boots on hardwood in hall,0,0,0
opening a small cabinet,0,0,1
soldier stomps out of bedroom to show his find to lynn,0,0,0
oma pauses and sets down her tea cup,0,0,0
opening the cover,0,0,0
kneeling down to get closer,0,0,0
reng struggles to get out,0,0,0
men walking,0,0,0
reng walks a few steps opens and slams bedroom door,0,0,1
kicks wall or something,0,0,1
taking bible,0,0,0
reng opens bible and turns a couple pages,0,0,0
something hits the floor,0,0,1
boots walking to next cell,0,0,0
sound of moping,0,0,1
moping stops,0,0,1
footsteps,0,0,0
footsteps as roelof opproaches,0,0,0
walking in,0,0,0
german office sounds,0,0,1
walking,0,0,0
two coughs,0,0,0
rustling,0,0,1
gunfire begins,0,0,1
breaking window,0,0,1
squealing as car rounds a corner,0,0,1
slams down phone,0,0,1
gets up out of chair and knocks it over,0,0,1
grabs his gloves,0,0,0
foosteps,0,0,0
climbing up stairs,0,0,0
wind blowing in field,0,0,1
turns old latch and opens an old door slowly.,0,0,1
slow walking,0,0,0
getting gun ready and safety off,0,0,1
suppressive gunfire,0,0,1
walking up steps of houseboat,0,0,0
knocking on door,0,0,1
dishing out food,1,0,0
picking a lock,1,0,0
summer sounds by brinkman house,0,0,1
summer sounds by brinkman house,0,0,1
maximum security prison sounds,0,0,1
dishwashing crew,0,0,1
factory sounds & license plate stamping machine,0,0,1
machines start,0,0,1
machine sounds,0,0,1
cafeteria sounds,0,0,1
cafeteria sounds that quickly fade as door closes,0,0,1
pulling latch,0,0,1
squeaking of door (use french doors from cathedral),0,0,1
prison sounds,0,0,1
backyard sounds,0,0,1
backyard sounds resume,0,0,1
golf cart comes to a stop,0,0,1
fly buzzing,0,0,1
door opens and charlie walks in,0,0,1
prison door opens,0,0,1
jack soaks cloth into bucket and starts scrubbing,0,0,1
door opens,0,0,1
door closes,0,0,1
"combination lock, wood door",0,0,1
metal rods turning. not sure what sound would be. make it cool,0,0,1
clunk of lock releasing,0,0,1
chain gate being lifted (portcullis),0,0,1
golf cart zooms off,0,0,1
charlie walking,0,0,0
susan walks up,0,0,0
sitting around table,1,0,0
runs up and pull up chair and sits down,0,0,0
jack walks out and follows guard down hall,0,0,0
jack walks and sits down,0,0,0
running,0,0,0
running footsteps,0,0,0
running,0,0,0
running slows down to jog,0,0,0
running stops,0,0,0
patting door,0,0,0
